user_id,tariff_plan,date_start
168016,C,10/9/2019
167870,C,10/3/2019
167501,C,9/18/2019
168101,C,10/14/2019
168011,C,10/9/2019
167921,C,10/4/2019
168064,C,10/11/2019
167976,C,10/8/2019
167734,C,9/27/2019
167954,C,10/7/2019
168042,C,10/10/2019
168004,C,10/9/2019
166482,C,8/5/2019
168022,C,10/9/2019
167792,C,9/30/2019
168010,C,10/9/2019
168019,C,10/9/2019
167216,C,9/6/2019
167027,C,8/28/2019
167943,C,10/7/2019
167917,C,10/4/2019
167941,C,10/7/2019
167552,C,9/20/2019
167936,C,10/7/2019
167700,C,9/26/2019
167852,C,10/2/2019
167622,C,9/23/2019
167575,C,9/20/2019
167798,C,10/1/2019
167927,C,10/7/2019
167878,C,10/3/2019
167827,C,10/2/2019
166940,C,8/26/2019
167335,C,9/12/2019
167888,C,10/4/2019
167906,C,10/4/2019
167816,C,10/1/2019
167499,C,9/18/2019
167665,C,9/24/2019
167709,C,9/26/2019
167805,C,10/1/2019
166947,C,8/26/2019
167729,C,9/26/2019
167630,C,9/24/2019
166408,C,8/2/2019
166574,C,8/9/2019
168317,C,10/21/2019
167571,C,9/20/2019
167641,C,9/24/2019
166629,C,8/12/2019
168271,C,10/18/2019
167535,C,9/19/2019
167781,C,9/30/2019
167598,C,9/23/2019
166869,C,8/22/2019
167660,C,9/24/2019
167545,C,9/19/2019
166729,C,8/16/2019
167691,C,9/25/2019
167682,C,9/25/2019
167039,C,8/29/2019
167466,C,9/17/2019
167672,C,9/25/2019
167664,C,9/24/2019
167650,C,9/24/2019
167567,C,9/20/2019
167644,C,9/24/2019
167618,C,9/23/2019
167744,C,9/27/2019
167861,C,10/3/2019
167370,C,9/13/2019
167408,C,9/16/2019
166585,C,8/9/2019
167683,C,9/25/2019
167506,C,9/18/2019
166874,C,8/22/2019
167643,C,9/24/2019
167627,C,9/24/2019
167455,C,9/17/2019
167533,C,9/19/2019
167532,C,9/19/2019
166688,C,8/15/2019
167209,C,9/6/2019
167526,C,9/19/2019
167456,C,9/17/2019
167494,C,9/18/2019
167500,C,9/18/2019
167159,C,9/4/2019
167430,C,9/16/2019
167482,C,9/18/2019
167450,C,9/17/2019
167488,C,9/18/2019
167434,C,9/16/2019
167016,C,8/28/2019
167001,C,8/28/2019
167195,C,9/5/2019
167425,C,9/16/2019
166645,C,8/13/2019
166397,C,8/1/2019
166881,C,8/22/2019
167107,C,9/2/2019
167382,C,9/13/2019
167199,C,9/5/2019
167252,C,9/9/2019
167277,C,9/10/2019
167031,C,8/29/2019
167059,C,8/29/2019
166631,C,8/12/2019
167272,C,9/10/2019
167286,C,9/10/2019
167210,C,9/6/2019
167200,C,9/6/2019
167192,C,9/5/2019
167235,C,9/9/2019
167242,C,9/9/2019
167246,C,9/9/2019
167188,C,9/5/2019
167019,C,8/28/2019
167109,C,9/2/2019
167150,C,9/4/2019
167162,C,9/4/2019
166889,C,8/22/2019
167143,C,9/4/2019
166985,C,8/27/2019
167079,C,8/30/2019
167052,C,8/29/2019
166726,C,8/16/2019
166833,C,8/21/2019
167102,C,9/2/2019
166617,C,8/12/2019
166917,C,8/23/2019
166938,C,8/26/2019
166983,C,8/27/2019
166973,C,8/27/2019
167003,C,8/28/2019
166836,C,8/21/2019
167030,C,8/29/2019
166812,C,8/20/2019
167034,C,8/29/2019
167014,C,8/28/2019
166974,C,8/27/2019
166868,C,8/22/2019
166679,C,8/14/2019
166575,C,8/9/2019
167035,C,8/29/2019
166918,C,8/23/2019
166460,C,8/5/2019
166396,C,8/1/2019
166703,C,8/15/2019
166835,C,8/21/2019
166604,C,8/12/2019
166792,C,8/19/2019
166767,C,8/19/2019
166979,C,8/27/2019
166959,C,8/26/2019
166926,C,8/23/2019
166621,C,8/12/2019
166708,C,8/15/2019
166745,C,8/16/2019
166744,C,8/16/2019
166717,C,8/16/2019
166803,C,8/20/2019
166511,C,8/6/2019
166677,C,8/14/2019
166636,C,8/12/2019
166691,C,8/15/2019
166566,C,8/8/2019
166671,C,8/14/2019
166491,C,8/6/2019
166649,C,8/13/2019
166573,C,8/9/2019
166392,C,8/1/2019
166520,C,8/7/2019
166555,C,8/8/2019
166540,C,8/7/2019
166410,C,8/2/2019
166497,C,8/6/2019
166468,C,8/5/2019
166373,C,8/1/2019
166387,C,8/1/2019
166876,C,8/22/2019
166903,C,8/23/2019
166388,C,8/1/2019
167933,C,10/7/2019
168466,C,10/28/2019
167721,C,9/26/2019
167473,C,9/18/2019
167568,C,9/20/2019
167440,C,9/17/2019
168366,C,10/23/2019
168119,C,10/14/2019
168093,C,10/14/2019
167994,C,10/9/2019
167905,C,10/4/2019
167690,C,9/25/2019
167301,C,9/11/2019
166773,C,8/19/2019
167553,C,9/20/2019
167704,C,9/26/2019
167213,C,9/6/2019
167273,C,9/10/2019
167025,C,8/28/2019
166761,C,8/19/2019
166692,C,8/15/2019
166644,C,8/13/2019
166655,C,8/13/2019
166391,C,8/1/2019
168488,C,10/28/2019
167837,C,10/2/2019
167112,C,9/2/2019
167613,C,9/23/2019
167220,C,9/6/2019
167042,C,8/29/2019
166652,C,8/13/2019
166424,C,8/2/2019
166376,C,8/1/2019
167407,C,9/16/2019
167507,C,9/18/2019
167510,C,9/19/2019
167282,C,9/10/2019
167244,C,9/9/2019
168013,C,10/9/2019
168077,C,10/11/2019
167227,C,9/6/2019
167053,C,8/29/2019
167011,C,8/28/2019
167759,C,9/27/2019
166900,C,8/23/2019
167446,C,9/17/2019
167318,C,9/11/2019
167245,C,9/9/2019
166902,C,8/23/2019
166469,C,8/5/2019
166505,C,8/6/2019
166965,C,8/27/2019
166584,C,8/9/2019
166490,C,8/6/2019
166545,C,8/8/2019
166412,C,8/2/2019
167830,C,10/2/2019
167647,C,9/24/2019
167189,C,9/5/2019
167125,C,9/3/2019
166507,C,8/6/2019
166666,C,8/14/2019
166936,C,8/26/2019
166390,C,8/1/2019
166727,C,8/16/2019
167819,C,10/1/2019
166398,C,8/1/2019
166579,C,8/9/2019
166693,C,8/15/2019
166399,C,8/1/2019
166957,C,8/26/2019
167474,C,9/18/2019
166375,C,8/1/2019
167645,C,9/24/2019
167051,C,8/29/2019
167160,C,9/4/2019
167144,C,9/4/2019
167129,C,9/3/2019
167113,C,9/2/2019
167663,C,9/24/2019
166946,C,8/26/2019
166908,C,8/23/2019
166955,C,8/26/2019
166993,C,8/28/2019
166842,C,8/21/2019
167263,B,9/10/2019
167657,B,9/24/2019
167061,B,8/29/2019
168103,B,10/14/2019
167122,B,9/2/2019
168106,B,10/14/2019
167652,B,9/24/2019
167840,B,10/2/2019
168047,B,10/10/2019
167250,B,9/9/2019
168237,B,10/17/2019
168500,B,10/28/2019
167095,B,8/31/2019
167077,B,8/30/2019
167929,B,10/7/2019
168212,B,10/17/2019
167972,B,10/8/2019
166406,B,8/2/2019
167908,B,10/4/2019
166678,B,8/14/2019
168567,B,10/30/2019
166405,B,8/2/2019
166785,B,8/19/2019
168291,B,10/21/2019
168550,B,10/30/2019
167419,B,9/16/2019
168526,B,10/29/2019
168329,B,10/22/2019
168078,B,10/11/2019
168490,B,10/28/2019
168417,B,10/24/2019
167969,B,10/8/2019
167479,B,9/18/2019
168562,B,10/30/2019
168243,B,10/17/2019
168222,B,10/17/2019
166495,B,8/6/2019
168000,B,10/9/2019
167375,B,9/13/2019
166591,B,8/9/2019
168173,B,10/15/2019
168513,B,10/29/2019
168603,B,10/31/2019
168091,B,10/14/2019
166654,B,8/13/2019
168574,B,10/31/2019
168549,B,10/30/2019
168481,B,10/28/2019
168452,B,10/25/2019
168499,B,10/28/2019
167959,B,10/8/2019
168542,B,10/30/2019
168225,B,10/17/2019
167036,B,8/29/2019
168579,B,10/31/2019
168558,B,10/30/2019
168180,B,10/16/2019
168349,B,10/22/2019
168583,B,10/31/2019
167480,B,9/18/2019
168315,B,10/21/2019
166942,B,8/26/2019
167451,B,9/17/2019
168334,B,10/22/2019
168322,B,10/22/2019
168479,B,10/28/2019
168302,B,10/21/2019
168377,B,10/23/2019
168376,B,10/23/2019
168378,B,10/23/2019
167402,B,9/16/2019
168352,B,10/23/2019
168379,B,10/23/2019
168018,B,10/9/2019
166503,B,8/6/2019
168167,B,10/15/2019
167310,B,9/11/2019
168209,B,10/16/2019
167977,B,10/8/2019
168099,B,10/14/2019
168309,B,10/21/2019
168262,B,10/18/2019
167955,B,10/7/2019
168066,B,10/11/2019
168154,B,10/15/2019
168021,B,10/9/2019
167621,B,9/23/2019
167317,B,9/11/2019
167874,B,10/3/2019
168149,B,10/15/2019
168105,B,10/14/2019
168041,B,10/10/2019
167580,B,9/20/2019
167989,B,10/8/2019
167851,B,10/2/2019
168015,B,10/9/2019
167995,B,10/9/2019
167999,B,10/9/2019
167947,B,10/7/2019
167299,B,9/11/2019
167930,B,10/7/2019
166680,B,8/14/2019
167736,B,9/27/2019
167849,B,10/2/2019
167060,B,8/29/2019
167654,B,9/24/2019
167724,B,9/26/2019
167679,B,9/25/2019
167512,B,9/19/2019
166428,B,8/2/2019
167651,B,9/24/2019
167738,B,9/27/2019
167716,B,9/26/2019
167326,B,9/11/2019
167565,B,9/20/2019
166500,B,8/6/2019
166813,B,8/20/2019
167445,B,9/17/2019
167487,B,9/18/2019
166532,B,8/7/2019
168446,B,10/25/2019
167264,B,9/10/2019
166788,B,8/19/2019
167275,B,9/10/2019
167521,B,9/19/2019
167447,B,9/17/2019
167115,B,9/2/2019
167357,B,9/12/2019
167359,B,9/13/2019
167338,B,9/12/2019
167315,B,9/11/2019
167339,B,9/12/2019
167054,B,8/29/2019
167228,B,9/6/2019
167041,B,8/29/2019
167266,B,9/10/2019
167225,B,9/6/2019
166956,B,8/26/2019
167176,B,9/5/2019
167156,B,9/4/2019
167172,B,9/5/2019
167174,B,9/5/2019
166829,B,8/21/2019
167175,B,9/5/2019
167110,B,9/2/2019
166598,B,8/9/2019
166970,B,8/27/2019
167114,B,9/2/2019
167078,B,8/30/2019
167004,B,8/28/2019
167082,B,8/30/2019
167002,B,8/28/2019
167183,B,9/5/2019
167443,B,9/17/2019
167847,B,10/2/2019
167869,B,10/3/2019
167867,B,10/3/2019
166962,B,8/27/2019
166975,B,8/27/2019
166791,B,8/19/2019
166638,B,8/13/2019
166660,B,8/13/2019
166653,B,8/13/2019
166899,B,8/23/2019
166711,B,8/15/2019
166795,B,8/19/2019
166524,B,8/7/2019
166772,B,8/19/2019
166732,B,8/16/2019
166675,B,8/14/2019
166774,B,8/19/2019
166800,B,8/20/2019
166697,B,8/15/2019
166755,B,8/19/2019
166769,B,8/19/2019
166971,B,8/27/2019
166844,B,8/21/2019
167436,B,9/17/2019
167475,B,9/18/2019
167071,B,8/30/2019
167179,B,9/5/2019
166734,B,8/16/2019
166663,B,8/13/2019
166560,B,8/8/2019
166658,B,8/13/2019
166534,B,8/7/2019
166594,B,8/9/2019
166485,B,8/6/2019
166627,B,8/12/2019
166548,B,8/8/2019
166536,B,8/7/2019
166389,B,8/1/2019
166440,B,8/2/2019
166380,B,8/1/2019
166421,B,8/2/2019
166377,B,8/1/2019
166783,B,8/19/2019
167502,B,9/18/2019
168307,B,10/21/2019
168449,B,10/25/2019
167124,B,9/2/2019
167468,B,9/18/2019
167256,B,9/9/2019
168053,B,10/10/2019
168578,B,10/31/2019
167219,B,9/6/2019
167410,B,9/16/2019
166837,B,8/21/2019
167942,B,10/7/2019
167858,B,10/3/2019
167768,B,9/30/2019
167750,B,9/27/2019
167463,B,9/17/2019
167164,B,9/4/2019
167543,B,9/19/2019
166839,B,8/21/2019
166550,B,8/8/2019
167638,B,9/24/2019
167142,B,9/3/2019
167058,B,8/29/2019
166426,B,8/2/2019
166533,B,8/7/2019
166884,B,8/22/2019
166464,B,8/5/2019
166530,B,8/7/2019
168245,B,10/17/2019
168071,B,10/11/2019
168509,B,10/29/2019
167384,B,9/13/2019
166569,B,8/9/2019
167939,B,10/7/2019
168097,B,10/14/2019
167296,B,9/11/2019
167813,B,10/1/2019
168340,B,10/22/2019
167981,B,10/8/2019
167551,B,9/20/2019
168025,B,10/9/2019
166958,B,8/26/2019
168356,B,10/23/2019
167130,B,9/3/2019
167530,B,9/19/2019
167288,B,9/10/2019
167009,B,8/28/2019
167141,B,9/3/2019
167697,B,9/25/2019
167415,B,9/16/2019
166941,B,8/26/2019
166705,B,8/15/2019
166587,B,8/9/2019
167452,B,9/17/2019
166797,B,8/20/2019
167268,B,9/10/2019
166522,B,8/7/2019
166815,B,8/20/2019
166702,B,8/15/2019
166554,B,8/8/2019
166911,B,8/23/2019
167012,B,8/28/2019
166867,B,8/22/2019
166565,B,8/8/2019
